lender,borrower,exposure_bln
JPM,TOTAL_FINANCIALS,57.17
BAC,TOTAL_FINANCIALS,85.66
C,TOTAL_FINANCIALS,83.51
WFC,TOTAL_FINANCIALS,158.45
GS,TOTAL_FINANCIALS,34.28
MS,TOTAL_FINANCIALS,73.45
STT,TOTAL_FINANCIALS,33.56
BK,TOTAL_FINANCIALS,39.7
HSBC,TOTAL_FINANCIALS,142.5
BCS,TOTAL_FINANCIALS,95.2
DB,TOTAL_FINANCIALS,110.4
BNPQY,TOTAL_FINANCIALS,135.0
SCGLY,TOTAL_FINANCIALS,88.6
UBS,TOTAL_FINANCIALS,120.1
ING,TOTAL_FINANCIALS,45.3
SAN,TOTAL_FINANCIALS,65.8
UNCFF,TOTAL_FINANCIALS,41.2
NRDEF,TOTAL_FINANCIALS,28.5
