Bank_Ticker,Year,Total_Assets_Billion,Interbank_Exposure_Billion
JPM,2023,3875.39,595.09
BAC,2023,3180.15,320.74
HSBC,2023,3038.68,112.9
C,2023,2411.83,233.59
BCS,2023,1880.86,85.2
WFC,2023,1881.02,192.6
GS,2023,1641.59,233.65
MS,2023,1193.69,81.91
BK,2023,410.0,12.14
STT,2023,297.26,87.665
DB,2023,1448.78,23.66
UBS,2023,1717.25,21.26
ING,2023,1077.04,18.45
SAN,2023,1983.86,80.32
BNPQY,2023,2861.01,26.87
SCGLY,2023,1715.67,85.98
CRARY,2023,2417.1,612.64
SCBFF,2023,822.84,44.98
UNCFF,2023,866.61,43.54
NRDBY,2023,645.51,2.61
DNKEY,2023,558.45,40.21
ABNAS,2023,417.21,2.57
MUFG,2023,2804.12,12.3
SMFG,2023,2018.16,36.87
MFG,2023,1914.85,7.26
IDCBY,2023,6285.34,157.03
CICHY,2023,5389.27,115.8
ACGBY,2023,5607.01,224.47
BACHY,2023,4560.64,244.0
DBSDY,2023,559.42,51.05
HDB,2023,304.36,9.62
CMWAY,2023,852.7,72.97
WEBNF,2023,701.12,69.8
ANZGY,2023,752.78,114.49
NABZY,2023,721.08,79.87
RY,2023,1511.75,53.6
TD,2023,1475.59,74.15
BNS,2023,1063.73,60.42
BMO,2023,975.12,3.11
CM,2023,735.67,26.32
