Bank_Ticker,VaR_5pct,Beta_Distress,Delta_CoVaR
BK,-0.0295,0.7175,-0.021896
RY,-0.0207,0.9673,-0.021087
TD,-0.023,0.8663,-0.020867
STT,-0.0372,0.5402,-0.020837
SCGLY,-0.0428,0.4837,-0.020684
BCS,-0.0392,0.5195,-0.020386
BAC,-0.0316,0.6312,-0.020342
MS,-0.0305,0.6424,-0.020134
BNPQY,-0.0356,0.5535,-0.02011
JPM,-0.0285,0.6776,-0.020083
BMO,-0.025,0.7616,-0.020006
ING,-0.0361,0.5304,-0.019643
WFC,-0.0352,0.5387,-0.01942
CRARY,-0.0332,0.5545,-0.019197
SAN,-0.0365,0.5238,-0.019108
CM,-0.0224,0.7779,-0.018503
BNS,-0.0224,0.7942,-0.018311
NRDBY,-0.028,0.6226,-0.018296
DB,-0.0387,0.4551,-0.018281
HSBC,-0.0267,0.6665,-0.018261
UBS,-0.0284,0.621,-0.018215
SMFG,-0.0256,0.7081,-0.018125
CMWAY,-0.0252,0.669,-0.018049
C,-0.0325,0.5473,-0.017992
GS,-0.0273,0.6421,-0.017968
NABZY,-0.0274,0.6079,-0.017384
MUFG,-0.0257,0.651,-0.016713
DNKEY,-0.0316,0.4946,-0.016109
ANZGY,-0.0262,0.586,-0.015925
MFG,-0.0236,0.6683,-0.015768
DBSDY,-0.02,0.7514,-0.015594
HDB,-0.0297,0.4461,-0.013669
BACHY,-0.017,0.8002,-0.01358
ACGBY,-0.0195,0.6831,-0.013326
UNCFF,-0.0485,0.2455,-0.011904
SCBFF,-0.0516,0.2261,-0.011678
CICHY,-0.0198,0.5842,-0.011561
IDCBY,-0.0194,0.5893,-0.011407
WEBNF,-0.0308,0.3156,-0.009734
