,GBSI
2019-01-03,3.238002
2019-01-04,19.166695
2019-01-07,3.2286406
2019-01-08,2.2184346
2019-01-09,4.8683577
2019-01-10,2.959763
2019-01-11,1.3704094
2019-01-14,2.7426157
2019-01-15,2.2700093
2019-01-16,9.471124
2019-01-17,0.28685516
2019-01-18,6.332484
2019-01-21,5.845505
2019-01-22,5.6624885
2019-01-23,2.0907516
2019-01-24,1.467131
2019-01-25,8.547394
2019-01-28,2.0327377
2019-01-29,0.78676635
2019-01-30,5.168565
2019-01-31,2.9791474
2019-02-01,2.355619
2019-02-04,0.9555166
2019-02-05,5.4126153
2019-02-06,0.51012486
2019-02-07,6.2046905
2019-02-08,2.874838
2019-02-11,0.36332208
2019-02-12,7.5486984
2019-02-13,0.37123957
2019-02-14,3.3576186
2019-02-15,10.38171
2019-02-18,10.29761
2019-02-19,10.224271
2019-02-20,2.9509594
2019-02-21,3.4599805
2019-02-22,2.3669393
2019-02-25,6.4468646
2019-02-26,1.4848285
2019-02-27,3.6621642
2019-02-28,0.18549086
2019-03-01,0.19066328
2019-03-04,1.0603251
2019-03-05,1.5245048
2019-03-06,2.329526
2019-03-07,7.8230743
2019-03-08,1.6015956
2019-03-11,7.1497936
2019-03-12,2.018844
2019-03-13,4.161078
2019-03-14,0.753151
2019-03-15,5.4296117
2019-03-18,5.8097825
2019-03-19,0.4803701
2019-03-20,5.470035
2019-03-21,3.1964734
2019-03-22,13.125627
2019-03-25,0.5122499
2019-03-26,3.3274577
2019-03-27,0.7535167
2019-03-28,0.63011515
2019-03-29,0.22677816
2019-04-01,13.069468
2019-04-02,1.923087
2019-04-03,5.7341156
2019-04-04,2.9979193
2019-04-05,0.49778497
2019-04-08,1.1357688
2019-04-09,2.3531399
2019-04-10,0.8742117
2019-04-11,1.7855443
2019-04-12,10.377596
2019-04-15,0.47350472
2019-04-16,7.646238
2019-04-17,3.3936524
2019-04-18,0.49370456
2019-04-22,1.182384
2019-04-23,1.9762698
2019-04-24,5.4300957
2019-04-25,0.13608134
2019-04-26,4.9749274
2019-04-29,6.6381993
2019-04-30,0.91724545
2019-05-01,1.4027494
2019-05-02,1.0029019
2019-05-03,5.05648
2019-05-06,3.7085712
2019-05-07,10.564739
2019-05-08,0.6801689
2019-05-09,3.2216752
2019-05-10,2.482227
2019-05-13,14.369216
2019-05-14,4.0416775
2019-05-15,0.5260396
2019-05-16,4.14186
2019-05-17,4.700249
2019-05-20,1.9649707
2019-05-21,5.656556
2019-05-22,3.6459637
2019-05-23,7.0241723
2019-05-24,6.1713676
2019-05-27,6.1441827
2019-05-28,5.976274
2019-05-29,0.4855935
2019-05-30,0.6371455
2019-05-31,3.929533
2019-06-03,2.0922105
2019-06-04,12.400596
2019-06-05,1.9177083
2019-06-06,1.10034
2019-06-07,2.4537625
2019-06-10,4.9249616
2019-06-11,2.6275604
2019-06-12,6.4144216
2019-06-13,0.83904237
2019-06-14,1.5471033
2019-06-17,0.4872883
2019-06-18,8.161365
2019-06-19,3.1353748
2019-06-20,3.6015754
2019-06-21,1.0653741
2019-06-24,0.7939596
2019-06-25,2.9998398
2019-06-26,4.4222355
2019-06-27,5.1056685
2019-06-28,5.9519987
2019-07-01,3.6800659
2019-07-02,0.61092335
2019-07-03,3.6195393
2019-07-04,3.4558644
2019-07-05,3.4256623
2019-07-08,4.701371
2019-07-09,0.9422304
2019-07-10,1.5373852
2019-07-11,4.1870537
2019-07-12,2.0206742
2019-07-15,0.37774664
2019-07-16,0.61776376
2019-07-17,1.3331636
2019-07-18,2.3908472
2019-07-19,0.55618966
2019-07-22,1.3850521
2019-07-23,6.004823
2019-07-24,1.0366172
2019-07-25,2.4406197
2019-07-26,1.2473161
2019-07-29,2.7361581
2019-07-30,3.0572774
2019-07-31,1.5934519
2019-08-01,7.587206
2019-08-02,1.0257444
2019-08-05,11.926181
2019-08-06,4.3206406
2019-08-07,2.6579614
2019-08-08,4.605349
2019-08-09,1.8813095
