Bank_Ticker,Delta_CoVaR,SRISK_Billion
JPM,-0.0259,49.06
BAC,-0.0256,50.17
HSBC,-0.0256,22.85
C,-0.0253,49.48
BCS,-0.0271,38.61
WFC,-0.0237,30.74
GS,-0.0239,36.82
MS,-0.0253,27.65
STT,-0.0265,6.61
DB,-0.0252,32.36
UBS,-0.025,31.8
ING,-0.0255,16.75
SAN,-0.0254,38.19
BNPQY,-0.0274,41.14
SCGLY,-0.0238,33.05
CRARY,-0.0266,27.65
SCBFF,-0.0211,0.0
UNCFF,-0.0217,3.97
NRDBY,-0.0257,4.68
DNKEY,-0.0231,3.04
MUFG,-0.0257,25.9
SMFG,-0.0256,18.78
MFG,-0.0252,16.43
IDCBY,-0.0223,0.0
CICHY,-0.0221,0.0
ACGBY,-0.0226,0.0
BACHY,-0.0244,0.0
DBSDY,-0.0238,0.0
HDB,-0.0249,1.25
CMWAY,-0.0271,9.26
WEBNF,-0.0234,2.12
ANZGY,-0.0255,7.78
NABZY,-0.0283,9.75
RY,-0.0264,6.71
TD,-0.0274,5.09
BNS,-0.0281,4.55
BMO,-0.0276,8.97
CM,-0.0254,4.46
