Bank_Ticker,Out_Exposure_Billion,In_Exposure_Billion,PageRank_Score,Eigenvector_Score,Betweenness_Score
IDCBY,157.03,368.26,0.0726,0.4086,0.0
ACGBY,224.47,323.16,0.0657,0.3565,0.0
CICHY,115.8,319.13,0.0634,0.3621,0.0
BACHY,244.0,261.8,0.0548,0.294,0.0
JPM,595.09,203.35,0.0475,0.2274,0.0
BAC,320.74,179.35,0.0399,0.207,0.0
HSBC,112.9,180.23,0.0384,0.2096,0.0
BNPQY,26.87,173.14,0.0364,0.2021,0.0
MUFG,12.3,170.26,0.0358,0.1988,0.0
C,233.59,139.05,0.0315,0.1633,0.0
CRARY,612.64,126.65,0.0315,0.1517,0.0
SMFG,36.87,121.86,0.027,0.1426,0.0
SAN,80.32,118.6,0.0267,0.1391,0.0
MFG,7.26,116.4,0.0259,0.136,0.0
WFC,192.6,109.55,0.0255,0.1296,0.0
BCS,85.2,112.32,0.0255,0.1319,0.0
SCGLY,85.98,102.44,0.0236,0.1204,0.0
UBS,21.26,104.06,0.0236,0.1218,0.0
GS,233.65,94.7,0.0228,0.1129,0.0
RY,53.6,90.94,0.0213,0.1068,0.0
TD,74.15,88.35,0.0209,0.1039,0.0
DB,23.66,87.75,0.0206,0.1027,0.0
MS,81.91,71.35,0.0177,0.0842,0.0
ING,18.45,65.31,0.0163,0.0765,0.0
BNS,60.42,63.89,0.0162,0.0752,0.0
BMO,3.11,59.33,0.0151,0.0693,0.0
UNCFF,43.54,52.26,0.0139,0.0614,0.0
CMWAY,72.97,51.08,0.0137,0.0603,0.0
SCBFF,44.98,49.6,0.0134,0.0583,0.0
ANZGY,114.49,44.67,0.0126,0.0531,0.0
CM,26.32,44.53,0.0124,0.0522,0.0
NABZY,79.87,43.12,0.0122,0.051,0.0
WEBNF,69.8,42.03,0.012,0.0497,0.0
NRDBY,2.61,39.28,0.0113,0.0459,0.0
DBSDY,51.05,33.68,0.0103,0.0397,0.0
DNKEY,40.21,33.7,0.0103,0.0396,0.0
ABNAS,2.57,25.39,0.0087,0.0297,0.8424
BK,12.14,24.9,0.0086,0.0292,0.0
STT,87.66,17.75,0.0073,0.0211,0.0
HDB,9.62,18.49,0.0073,0.0216,0.6994
