Bank,Out_Degree_Infectivity,In_Degree_Vulnerability,Betweenness_Highway_Score,PageRank_Systemic_Importance
JPM,15,1,0.0958,0.0209
C,12,3,0.0672,0.0342
STT,11,1,0.0057,0.0159
BK,9,1,0.0046,0.0159
SCGLY,9,3,0.0679,0.046
ING,8,11,0.2453,0.0597
CRARY,8,7,0.1661,0.0921
GS,7,7,0.0186,0.0443
MS,7,6,0.0271,0.0352
UBS,5,6,0.0024,0.0416
BAC,5,4,0.0,0.0238
WFC,5,4,0.0032,0.0211
UNCRY,4,7,0.0216,0.0349
AAVMY,4,3,0.0282,0.0225
BCS,3,7,0.0264,0.0423
BNPQY,3,11,0.026,0.0623
DB,3,0,0.0,0.0147
NRDBY,2,2,0.0007,0.0221
SAN,2,11,0.0071,0.0599
DNKEY,1,5,0.0,0.047
HSBC,1,3,0.0,0.0221
SCBFF,0,21,0.0,0.2069
DB_Return,0,0,0.0,0.0147
