Lender_Ticker,Borrower_Ticker,Exposure_Billion_USD
JPM,SYSTEM,476.59
BAC,SYSTEM,280.62
C,SYSTEM,345.7
WFC,SYSTEM,80.46
GS,SYSTEM,421.57
MS,SYSTEM,231.83
BK,SYSTEM,28.9
STT,SYSTEM,6.69
HSBC,SYSTEM,0.0
BCS,SYSTEM,0.0
DB,SYSTEM,0.0
BNPQY,SYSTEM,0.0
SCGLY,SYSTEM,0.0
UBS,SYSTEM,0.0
ING,SYSTEM,0.0
SAN,SYSTEM,0.0
UNCFF,SYSTEM,0.0
NRDEF,SYSTEM,0.0
BPCE,SYSTEM,0.0
CASA,SYSTEM,0.0
STAN,SYSTEM,0.0
GSI,SYSTEM,0.0
MUFG,SYSTEM,0.0
SMFG,SYSTEM,0.0
MIZUHO,SYSTEM,0.0
ICBC,SYSTEM,0.0
CCB,SYSTEM,0.0
ABC,SYSTEM,0.0
BOC,SYSTEM,0.0
CBA,SYSTEM,0.0
ANZ,SYSTEM,0.0
NAB,SYSTEM,0.0
WBC,SYSTEM,0.0
SBI,SYSTEM,0.0
RY,SYSTEM,0.0
TD,SYSTEM,0.0
BMO,SYSTEM,0.0
BNS,SYSTEM,0.0
CM,SYSTEM,0.0
