Lender_Ticker,Borrower_Ticker,Exposure_Billion_USD
JPM,SYSTEM,
BAC,SYSTEM,
C,SYSTEM,
WFC,SYSTEM,
GS,SYSTEM,
MS,SYSTEM,
BK,SYSTEM,
STT,SYSTEM,
HSBC,SYSTEM,
BCS,SYSTEM,
DB,SYSTEM,
BNPQY,SYSTEM,
SCGLY,SYSTEM,
UBS,SYSTEM,
ING,SYSTEM,
SAN,SYSTEM,
UNCFF,SYSTEM,
NRDEF,SYSTEM,
BPCE,SYSTEM,
CASA,SYSTEM,
STAN,SYSTEM,
GSI,SYSTEM,
MUFG,SYSTEM,
SMFG,SYSTEM,
MIZUHO,SYSTEM,
ICBC,SYSTEM,
CCB,SYSTEM,
ABC,SYSTEM,
BOC,SYSTEM,
CBA,SYSTEM,
ANZ,SYSTEM,
NAB,SYSTEM,
WBC,SYSTEM,
SBI,SYSTEM,
RY,SYSTEM,
TD,SYSTEM,
BMO,SYSTEM,
BNS,SYSTEM,
CM,SYSTEM,
