Bank_Ticker,Stress_Beta,LRMES_pct
SCGLY,1.6754,48.84
CRARY,1.4454,43.91
ING,1.4107,43.12
C,1.3634,42.04
BCS,1.3533,41.8
BNPQY,1.3439,41.58
SAN,1.3326,41.32
UNCFF,1.3106,40.8
WFC,1.1972,38.05
STT,1.1919,37.92
ANZGY,1.1851,37.75
DB,1.1749,37.5
NABZY,1.1515,36.91
BAC,1.1326,36.43
ABN.AS,1.1271,36.29
MS,1.1087,35.82
UBS,1.0772,35.01
BMO,1.0593,34.54
JPM,1.0516,34.34
CMWAY,1.0114,33.27
GS,0.995,32.83
NRDBY,0.992,32.75
SCBFF,0.9828,32.51
DNKEY,0.9761,32.32
CM,0.9689,32.13
BNS,0.9375,31.27
BK,0.934,31.17
TD,0.8978,30.17
HDB,0.8255,28.12
RY,0.8036,27.49
DBSDY,0.7565,26.11
HSBC,0.7504,25.93
WEBNF,0.7003,24.43
SMFG,0.6997,24.41
MUFG,0.6977,24.35
MFG,0.5898,21.02
IDCBY,0.4752,17.31
ACGBY,0.4684,17.09
BACHY,0.435,15.97
CICHY,0.4099,15.12
